"word","count","relevance"
"goodbye england","3","0.984"
"candle","6","0.984"
"life","5","0.820"
"england","6","0.492"
"footstep","3","0.492"
"rain","3","0.492"
"greenest","3","0.492"
"legend","3","0.492"
"sunset","3","0.492"
"wind","3","0.492"
"heart","2","0.328"
"empty day","1","0.328"
"grace","2","0.328"
"country","2","0.328"
"golden children","1","0.328"
"loveliness","1","0.164"
"compassion","1","0.164"
"joy","1","0.164"
"torch","1","0.164"
"year","1","0.164"
"nation","1","0.164"
"pain","1","0.164"
"heaven","1","0.164"
"word","1","0.164"
"name","1","0.164"
"tears","1","0.164"
"soul","1","0.164"
"truth","1","0.164"
"smile","1","0.164"
"star","1","0.164"
"wing","1","0.164"
