"word","count","relevance"
"gettin","7","0.986"
"degree","7","0.986"
"paul","7","0.986"
"peter","7","0.986"
"everybody","7","0.986"
"3p","7","0.986"
"mary","7","0.986"
"got","7","0.986"
"countin","9","0.986"
"new things","2","0.563"
"triple fun","1","0.282"
"livin","2","0.282"
"games","2","0.282"
"floor","2","0.282"
"sin","2","0.282"
"harm","1","0.141"
"babes","1","0.141"
"company","1","0.141"
"team","1","0.141"
"let","1","0.141"
"nothin'","1","0.141"
"extreme","1","0.141"
"name","1","0.141"
"merrier","1","0.141"
"way","1","0.141"
"night","1","0.141"
"fun","2","0.141"
"charm","1","0.141"
